NRO_FACT,COD_PROD,DESC_PROD,CANTIDAD,FECHA_FACT,PRECIO_UNIT,COD_CLIENTE,DISTRITO
536365,BLG01,GRANOLA,6,31/10/2018,6,17850,CERCADO
536365,BLG01,GRANOLA,6,18/07/2019,6,17850,CERCADO
536365,BLG01,GRANOLA,8,3/04/2019,6,17850,CERCADO
536365,BLG01,GRANOLA,6,5/05/2018,6,17850,CERCADO
536365,BLG01,GRANOLA,6,5/10/2018,6,17850,CERCADO
536365,BLG01,GRANOLA,2,21/05/2018,6,17850,CERCADO
536365,BLG01,GRANOLA,6,11/03/2019,6,17850,CERCADO
536366,BLG01,GRANOLA,6,9/02/2018,6,17850,CERCADO
536366,BLG01,GRANOLA,6,22/07/2019,6,17850,CERCADO
536367,BLG01,GRANOLA,32,16/01/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,6,26/12/2018,6,13047,CERCADO
536367,BLG01,GRANOLA,6,23/05/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,8,20/05/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,6,30/09/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,6,17/07/2018,6,13047,CERCADO
536367,BLG01,GRANOLA,3,19/02/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,2,19/12/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,3,20/09/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,3,17/01/2019,6,13047,CERCADO
536367,BLG01,GRANOLA,4,4/10/2018,6,13047,CERCADO
536367,BLG01,GRANOLA,4,25/09/2019,6,13047,CERCADO
536368,BLG01,GRANOLA,6,17/02/2019,6,13047,CERCADO
536368,BLP01,PROPOLEO,3,5/05/2019,6,13047,CERCADO
536368,BLP01,PROPOLEO,3,26/06/2018,6,13047,CERCADO
536368,BLP01,PROPOLEO,3,13/07/2019,6,13047,CERCADO
536369,BLP01,PROPOLEO,3,4/07/2019,6,13047,CERCADO
536370,BLP01,PROPOLEO,24,21/08/2018,6,12583,CERCADO
536370,BLP01,PROPOLEO,24,20/01/2019,6,12583,CERCADO
536370,BLP01,PROPOLEO,12,24/01/2018,6,12583,CERCADO
536370,BLP01,PROPOLEO,12,19/11/2019,6,12583,CERCADO
536370,BLP01,PROPOLEO,24,20/02/2018,6,12583,CERCADO
536370,BLC01,QUINUA,48,15/03/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,26/02/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,18,18/07/2018,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,17/03/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,23/03/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,4/12/2018,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,26/05/2018,6,12583,MAGDALENA
536370,BLC01,QUINUA,20,30/10/2019,6,12583,MAGDALENA
536370,BLAC1,ACEITE DE COCO,24,14/10/2019,9,12583,MAGDALENA
536370,BLC01,CACAO,24,11/03/2019,5,12583,MAGDALENA
536370,BLM01,MACA,12,10/05/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,2/08/2018,6,12583,MAGDALENA
536370,BLC01,QUINUA,24,13/03/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,36,21/10/2019,6,12583,MAGDALENA
536370,BLC01,QUINUA,3,6/09/2019,6,12583,MAGDALENA
536371,BLC01,QUINUA,80,7/10/2019,6,13748,MAGDALENA
536372,BLC01,QUINUA,6,10/04/2018,6,17850,MAGDALENA
536372,BLC01,QUINUA,6,28/10/2018,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,1/06/2018,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,15/04/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,8,5/03/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,16/10/2018,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,21/06/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,10/09/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,13/07/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,24/10/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,2,15/01/2019,6,17850,MAGDALENA
536373,BLC01,QUINUA,4,8/08/2018,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,11/09/2018,6,17850,MAGDALENA
536373,BLC01,QUINUA,6,13/11/2018,6,17850,MAGDALENA
536373,BLAC1,ACEITE DE COCO,6,17/10/2019,9,17850,MAGDALENA
536373,BLAC1,ACEITE DE COCO,6,28/06/2019,9,17850,MAGDALENA
536373,BLSI1,SACHA INCHI,2,10/07/2018,10,17850,LINCE
